DISTRICT CODE,DISTRICT NAME
1,Thiruvallur
2,North Chennai
2,South Chennai
3,Kanchipuram
4,Vellore
5,Thiruvannamalai
6,Viluppuram
7,Salem
8,Namakkal
9,Erode
10,Nilgiris
11,Dindigul
12,Karur
13,Thiruchirapalli
14,Perambalur
15,Ariyalur
16,Cuddalore
17,Nagapattinam
18,Thiruvarur
19,Thanjavur
20,Pudukkottai
21,Sivagangai
22,Madurai
23,Theni
24,Virudhunagar
25,Ramanathapuram
26,Tuticorin
27,Tirunelveli
28,Kanyakumari
29,Dharmapuri
30,Krishnagiri
31,Coimbatore
32,Tiruppur
33,Tenkasi
34,Kallakurichi
35,Ranipet
36,Tirupathur
37,Chengalpet
38,Mayiladuthurai
